txn_id,customer_id,timestamp,merchant,amount_inr,txn_type,txn_country,fraud_label,hour_of_day,is_weekend,days_since_last_txn,high_risk
TXN000177,CUST0001,2023-11-08 00:00:00,zomato,39528.31,card,IN,0,0,False,0.0,0
TXN000183,CUST0001,2023-12-03 00:00:00,swiggy,11361.3,net_banking,IN,0,0,True,25.0,0
TXN000073,CUST0001,2023-12-09 00:00:00,zomato,40509.01,card,AE,0,0,True,6.0,1
TXN000268,CUST0001,2024-02-24 00:00:00,amazon,24679.18,card,AE,1,0,True,77.0,1
TXN000222,CUST0001,2024-05-19 00:00:00,zomato,23019.95,net_banking,AE,0,0,True,85.0,1
TXN000098,CUST0001,2024-09-24 05:43:00,bigbasket,47692.41,card,IN,0,5,False,128.0,0
TXN000094,CUST0002,2023-05-13 00:00:00,uber,4622.63,upi,IN,0,0,True,0.0,0
TXN000147,CUST0002,2023-08-17 00:00:00,amazon,27078.03,upi,AE,0,0,False,96.0,1
TXN000032,CUST0002,2024-03-18 10:46:00,bigbasket,16110.78,net_banking,AE,0,10,False,214.0,1
TXN000007,CUST0002,2024-08-24 00:00:00,amazon,22980.74,net_banking,GB,0,0,True,158.0,1
TXN000332,CUST0003,2023-08-11 00:00:00,amazon,29425.28,net_banking,SG,0,0,False,0.0,1
TXN000199,CUST0003,2024-01-20 00:00:00,uber,32675.07,net_banking,IN,0,0,True,162.0,0
TXN000154,CUST0003,2024-02-08 00:00:00,zomato,35920.61,upi,GB,0,0,False,19.0,1
TXN000131,CUST0003,2024-03-28 00:00:00,flipkart,41715.65,card,IN,1,0,False,49.0,0
TXN000093,CUST0003,2024-04-05 00:00:00,paytm,11598.46,upi,IN,1,0,False,8.0,0
TXN000114,CUST0003,2024-10-05 00:00:00,amazon,38045.41,card,GB,0,0,True,183.0,1
TXN000115,CUST0004,2023-03-18 00:00:00,netflix,36163.19,net_banking,IN,0,0,True,0.0,0
TXN000261,CUST0004,2023-03-18 00:00:00,zomato,42943.44,upi,SG,0,0,True,0.0,1
TXN000103,CUST0004,2023-07-06 00:00:00,swiggy,44747.15,net_banking,AE,0,0,False,110.0,1
TXN000325,CUST0004,2023-08-14 00:00:00,flipkart,1539.47,upi,IN,0,0,False,39.0,0
TXN000163,CUST0004,2024-08-03 00:00:00,paytm,29993.91,net_banking,IN,0,0,True,355.0,0
TXN000104,CUST0004,2024-08-21 14:46:00,uber,11819.9,net_banking,GB,1,14,False,18.0,1
TXN000139,CUST0004,2024-10-21 00:00:00,swiggy,37728.14,upi,AE,0,0,False,60.0,1
TXN000108,CUST0005,2023-06-08 00:00:00,swiggy,3378.43,card,AE,0,0,False,0.0,1
