txn_id,customer_id,timestamp,merchant,amount_inr,txn_type,txn_country,card_issue_country,fraud_label
TXN000001,CUST0022,45272,Amazon,48933.84,net_banking,GB,IN,0
TXN000002,CUST0023,2024-07-18T04:54:00,AMAZON INC,4631376.06,UPI,IN,IN,0
TXN000003,CUST0057,45294,Paytm,24317.99,net_banking,IN,IN,0
TXN000004,CUST0015,2024-09-16T22:54:00,Amazon,4793.23,Card,IN,IN,0
TXN000005,CUST0020,1710115200,Flipkart,42270.66,upi,GB,IN,0
TXN000006,CUST0007,45295,UBER INDIA,11056.46,net_banking,AE,IN,0
TXN000007,CUST0002,1724457600,Amazon Ltd,22980.74,NetBanking,GB,IN,0
TXN000008,CUST0030,1731888000,BigBasket,8290.47,card,AE,IN,0
TXN000009,CUST0019,2024-11-17T00:25:00,BigBasket,8685.42,UPI,IN,IN,0
TXN000010,CUST0037,45095,big basket,11024.88,card,IN,IN,0
TXN000011,CUST0058,45320,Flipkart,5378.27,NetBanking,IN,IN,0
TXN000012,CUST0012,1717286400,Swiggy,11946.15,net_banking,AE,IN,0
TXN000013,CUST0011,45137,Paytm,15431.63,NetBanking,IN,IN,0
TXN000014,CUST0012,1732752000,PAYTM LIMITED,28986.08,Card,US,IN,0
TXN000015,CUST0011,2024-07-13T23:39:00,Uber,29989.82,UPI,IN,IN,0
TXN000016,CUST0047,2024-11-15T18:02:00,UBER INDIA,19341.3,card,IN,IN,0
TXN000017,CUST0049,1730678400,BigBasket,893840.85,UPI,AE,IN,0
TXN000018,CUST0018,1715990400,Flipkart,5027.33,card,IN,IN,0
TXN000019,CUST0009,1733875200,Netflix,4109.04,net_banking,AE,IN,0
TXN000020,CUST0058,2024-05-09T05:59:00,AMAZON INC,35624.13,UPI,US,IN,0
TXN000021,CUST0024,45201,Amazon Ltd,22131.95,upi,IN,IN,0
TXN000022,CUST0034,2024-10-13T06:08:00,big basket,36960.83,Card,IN,IN,1
TXN000023,CUST0056,2024-10-10T05:40:00,big basket,19229.93,card,IN,IN,1
TXN000024,CUST0025,1730764800,PAYTM LIMITED,30756.5,NetBanking,IN,IN,0
TXN000025,CUST0042,45272,Uber,19014.33,Card,IN,IN,0
TXN000026,CUST0059,45294,UBER INDIA,27067.82,NetBanking,IN,IN,0
TXN000027,CUST0028,2024-07-27T07:55:00,big basket,3554328.76,upi,IN,IN,0
TXN000028,CUST0024,1726704000,BigBasket,44091.5,NetBanking,IN,IN,0
TXN000029,CUST0007,1718236800,NETFLIX INC,24581.08,card,GB,IN,0
TXN000030,CUST0046,1714694400,Flipkart,39481.49,UPI,IN,IN,0
TXN000031,CUST0058,45348,flipkart pvt ltd,26201.53,upi,SG,IN,0
TXN000032,CUST0002,2024-03-18T10:46:00,big basket,16110.78,net_banking,AE,IN,0
TXN000033,CUST0027,2024-03-11T12:10:00,BigBasket,24956.62,upi,IN,IN,0
TXN000034,CUST0045,45087,BigBasket,30785.74,NetBanking,GB,IN,0
TXN000035,CUST0019,2024-10-08T22:14:00,Zomato,41912.57,Card,AE,IN,0
TXN000036,CUST0056,2024-09-20T21:23:00,AMAZON INC,30331.63,upi,AE,IN,0
TXN000037,CUST0043,1714262400,PAYTM LIMITED,18654.32,Card,SG,IN,0
TXN000038,CUST0031,45054,Netflix,35175.78,UPI,IN,IN,0
